Cep,Rua,Bairro,Lat,Lng
58400002,Rua Presidente João Pessoa,Centro,-229027962,-431026262
58400006,Praça Félix Araújo,Centro,-7214983600000000,-358935252
58400008,Rua Quintino Bocaiúva,Centro,-235498801,-466350802
58400012,Rua Antenor Navarro,Centro,-72178552,-35893437
58400020,Rua Siqueira Campos,Centro,-235577468,-496813324
58400025,Rua Presidente Epitácio Pessoa,Centro,-263308671,-488419049
58400028,Rua João da Silva Pimentel,Centro,-72130686,-358877797
58400030,Rua Índios Cariris,Centro,-72183218,-358894204
58400034,Rua Presidente João Pessoa,Centro,-229027962,-431026262
58400036,Rua João Suassuna,Centro,-72122617,-35896333
58400038,Rua Iremar Vilarim,Centro,-72155077,-358879058
58400040,Rua Professor Mauro Luna,Centro,-72131395,-358862197
58400042,Rua Raimundo Alves da Silva,Centro,-7214639399999990,-358856608
58400048,Rua Padre Ibiapina,Centro,-37274655,-385403637
58400050,Rua Augusto Severo,Centro,-300033314,-511890322
58400052,Avenida Presidente Getúlio Vargas,Centro,-227683636,-471538543
58400054,Rua Expedicionário do Brasil,Centro,-217893643,-481824663
58400056,Rua Índios Cariris,Centro,-72183218,-358894204
58400058,Avenida Rio Branco,Centro,-229059821,-431773249
58400060,Rua Jerônimo Gueiros,Centro,-88806053,-364962
58400062,Rua Dom Pedro II,Centro,-198905141,-4383062779999990
58400066,Rua Professor José Coelho,Centro,-71168136,-3488104149999990
58400070,Rua Rui Barbosa,Centro,-235589533,-466453035
58400076,Rua Miguel Barreto,Centro,-7218349099999990,-35886831
58400078,Rua Félix Araújo,Centro,-72183113,-358870387
58400081,Rua Theodósio de Oliveira Ledo,Centro,-7164515700000000,-349096018
58400083,Rua Coronel Demóstenes Barbosa,Centro,-72183182,-3588557
58400085,Praça da Bandeira,Centro,-229102021,-432122385
58400087,Rua Marquês do Herval,Centro,-300213884,-512007024
58400090,Rua Venâncio Neiva,Centro,-7218159999999990,-358845104
58400093,Rua Semeão Leal,Centro,-72183242,-358833199
58400097,Rua Cardoso Vieira,Centro,-72174065,-35883747
58400100,Rua Maciel Pinheiro,Centro,-71172054,-348890137
58400103,Rua Monsenhor Sales,Centro,-72175707,-358848466
58400105,Rua Sete de Setembro,Centro,-229054333,-431784447
58400106,Praça João Rique Ferreira,Centro,-72585192,-358868249
58400107,Praça Tenente Alfredo Dantas,Centro,-72184217,-358852148
58400110,Rua Barão do Abiaí,Centro,-72167747,-358840122
58400112,Rua Manoel Cavalcante Belo,Centro,-72167747,-358840122
58400115,Rua Alexandrino Cavalcanti Belo,Centro,-7216205,-35883557
58400117,Rua João Alves de Oliveira,Centro,-242243943,-468676144
58400120,Rua João Leôncio,Centro,-7215249999999990,-358847192
58400122,Rua Sandra Borborema,Centro,-7215035699999990,-358847235
58400126,Rua Vigolvino Wanderley,Centro,-7213883600000000,-358849458
58400130,Avenida Cajazeiras,Centro,-7106002399999990,-348291938
58400133,Rua Prefeito Ernani Lauritzen,Centro,-7215571199999990,-358822693
58400135,Rua Júlia Barreto de Melo,Centro,-72167131,-358813438
58400137,Rua Governador Agamenon Magalhães,Centro,-254356,-492300095
58400140,Rua Cristiano Lauritzen,Centro,-72240154,-358816943
58400143,Rua Peregrino de Carvalho,Centro,-72175663,-358814012
58400144,Praça Rosil Cavalcanti,Centro,-72218777,-358797893
58400145,Rua Conselheiro Eufrasino Barbosa Pontes,Centro,-7208199899999990,-359206393
58400147,Rua Euclides Vilar,Centro,-72171673,-3588121
58400150,Rua Tavares Cavalcante,Centro,-7217731699999990,-358772405
58400152,Rua Estelita Cruz,Centro,-7210484000000000,-35879954
58400154,Praça Lino de Oliveira Cavalcante,Centro,-7204562699999990,-34846026
58400156,Rua Vereador Artur Villarim,Centro,-72164515,-358796472
58400158,Avenida Janúncio Ferreira,Centro,-7215724,-358796017
58400160,Praça Poeta Augusto dos Anjos,Centro,-229099254,-431723904
58400165,Avenida Marechal Floriano Peixoto,Centro,-25479955,-492479242
58400170,Rua Santa Clara,Centro,,
58400171,Parque Evaldo Cruz,Centro,-229686549,-431897744
58400180,Avenida Marechal Floriano Peixoto,Centro,-25479955,-492479242
58400182,Rua Manoel Elias,Centro,-300267267,-511202026
58400183,Travessa Capitão João de Sá,Centro,-358761928,-358761928
58400185,Rua Tavares Cavalcante,Centro,-7217731699999990,-358772405
58400187,Rua Deputado José Tavares,Centro,-71520944,-348876167
58400190,Rua Marcílio Dias,Centro,-236733675,-467143562
58400195,Rua Giló Guedes,Centro,-7218690599999990,-358757691
58400198,Travessa Cinco de Agosto,Centro,-129199273,-384442199
58400200,Rua Capitão João de Sá,Centro,-7219813299999990,-358761928
58400202,Rua Manoel Pereira de Araújo,Centro,-7219220699999990,-358772417
58400204,Rua Doutor Carlos Agra,Centro,-7219904099999990,-358770149
58400205,Travessa Doutor Carlos Agra,Centro,-7219904099999990,-358770149
58400206,Rua Pedro Álvares Cabral,Centro,-22810447,-434259367
58400208,Rua Quebra Quilos,Centro,-72210156,-358766416
58400210,Rua Ulisses Gomes,Centro,-72217821,-358763928
