,Data,cum_casos,target,media_movel,t
6,2020-01-16,0.008,0.018,0.004857142857142858,7
7,2020-01-22,0.009,0.019,0.005999999999999999,8
8,2020-01-31,0.01,0.02,0.006999999999999999,9
9,2020-02-01,0.011,0.021,0.008,10
10,2020-02-03,0.012,0.022,0.009,11
11,2020-02-09,0.013,0.024,0.009999999999999998,12
12,2020-02-20,0.014,0.025,0.011,13
13,2020-02-24,0.018,0.026,0.012428571428571428,14
14,2020-03-04,0.019,0.027,0.013857142857142858,15
15,2020-03-09,0.02,0.028,0.015285714285714283,16
16,2020-03-10,0.021,0.029,0.016714285714285713,17
17,2020-03-14,0.022,0.03,0.018142857142857145,18
18,2020-03-17,0.024,0.033,0.019714285714285715,19
19,2020-03-22,0.025,0.034,0.021285714285714286,20
20,2020-03-23,0.026,0.035,0.022428571428571433,21
21,2020-03-26,0.027,0.036,0.023571428571428573,22
22,2020-03-27,0.028,0.038,0.024714285714285716,23
23,2020-04-03,0.029,0.044,0.025857142857142856,24
24,2020-04-04,0.03,0.045,0.027,25
25,2020-04-05,0.033,0.049,0.028285714285714286,26
26,2020-04-06,0.034,0.052,0.029571428571428575,27
27,2020-04-09,0.035,0.054,0.030857142857142857,28
28,2020-04-11,0.036,0.063,0.03214285714285715,29
29,2020-04-13,0.038,0.067,0.03357142857142857,30
30,2020-04-14,0.044,0.071,0.03571428571428571,31
31,2020-04-15,0.045,0.079,0.03785714285714286,32
32,2020-04-17,0.049,0.082,0.04014285714285715,33
33,2020-04-18,0.052,0.084,0.04271428571428571,34
34,2020-04-19,0.054,0.085,0.04542857142857143,35
35,2020-04-20,0.063,0.088,0.04928571428571428,36
36,2020-04-21,0.067,0.093,0.05342857142857143,37
37,2020-04-22,0.071,0.095,0.05728571428571428,38
38,2020-04-23,0.079,0.099,0.062142857142857146,39
39,2020-04-24,0.082,0.103,0.06685714285714285,40
40,2020-04-25,0.084,0.119,0.07142857142857142,41
41,2020-04-26,0.085,0.124,0.07585714285714286,42
42,2020-04-27,0.088,0.144,0.07942857142857143,43
43,2020-04-28,0.093,0.157,0.08314285714285716,44
44,2020-04-29,0.095,0.172,0.08657142857142859,45
45,2020-04-30,0.099,0.189,0.08942857142857143,46
46,2020-05-01,0.103,0.211,0.09242857142857143,47
47,2020-05-02,0.119,0.223,0.09742857142857142,48
48,2020-05-03,0.124,0.23,0.103,49
49,2020-05-04,0.144,0.288,0.111,50
50,2020-05-05,0.157,0.321,0.12014285714285713,51
51,2020-05-06,0.172,0.375,0.13114285714285714,52
52,2020-05-07,0.189,0.437,0.144,53
53,2020-05-08,0.211,0.498,0.15942857142857145,54
54,2020-05-09,0.223,0.517,0.1742857142857143,55
55,2020-05-10,0.23,0.546,0.18942857142857142,56
56,2020-05-11,0.288,0.644,0.21,57
57,2020-05-12,0.321,0.741,0.2334285714285714,58
58,2020-05-13,0.375,0.832,0.2624285714285714,59
59,2020-05-14,0.437,0.943,0.2978571428571429,60
60,2020-05-15,0.498,1.052,0.33885714285714286,61
61,2020-05-16,0.517,1.115,0.38085714285714284,62
62,2020-05-17,0.546,1.123,0.426,63
63,2020-05-18,0.644,1.284,0.47685714285714287,64
64,2020-05-19,0.741,1.406,0.5368571428571428,65
65,2020-05-20,0.832,1.572,0.6021428571428571,66
66,2020-05-21,0.943,1.719,0.6744285714285715,67
67,2020-05-22,1.052,1.871,0.7535714285714287,68
68,2020-05-23,1.115,1.939,0.8390000000000001,69
69,2020-05-24,1.123,1.963,0.9214285714285715,70
70,2020-05-25,1.284,2.093,1.012857142857143,71
71,2020-05-26,1.406,2.24,1.1078571428571429,72
72,2020-05-27,1.572,2.414,1.2135714285714285,73
73,2020-05-28,1.719,2.58,1.3244285714285715,74
74,2020-05-29,1.871,2.763,1.4414285714285715,75
75,2020-05-30,1.939,2.891,1.5591428571428572,76
76,2020-05-31,1.963,2.957,1.6791428571428573,77
77,2020-06-01,2.093,3.206,1.7947142857142857,78
78,2020-06-02,2.24,3.403,1.913857142857143,79
79,2020-06-03,2.414,3.593,2.0341428571428573,80
80,2020-06-04,2.58,3.746,2.157142857142857,81
81,2020-06-05,2.763,3.852,2.2845714285714287,82
82,2020-06-06,2.891,3.909,2.420571428571429,83
83,2020-06-07,2.957,3.975,2.5625714285714283,84
84,2020-06-08,3.206,4.18,2.721571428571429,85
85,2020-06-09,3.403,4.307,2.8877142857142855,86
86,2020-06-10,3.593,4.454,3.056142857142857,87
