,Cep,Rua,Bairro,Lat,Lng,latitudes,longitudes
0,58400002,Rua Presidente João Pessoa,Centro,-229027962,-431026262,-7.2164509,-35.8896766
1,58400006,Praça Félix Araújo,Centro,-7214983600000000,-358935252,-7.2149836,-35.8935252
2,58400008,Rua Quintino Bocaiúva,Centro,-235498801,-466350802,-7.2143392,-35.8935034
3,58400012,Rua Antenor Navarro,Centro,-72178552,-35893437,-7.2178163,-35.8934283
4,58400020,Rua Siqueira Campos,Centro,-235577468,-496813324,-7.2157247,-35.8904759
5,58400025,Rua Presidente Epitácio Pessoa,Centro,-263308671,-488419049,-7.2150132,-35.8874938
6,58400028,Rua João da Silva Pimentel,Centro,-72130686,-358877797,-7.2156394,-35.8891792
7,58400030,Rua Índios Cariris,Centro,-72183218,-358894204,-7.2189203,-35.8892427
8,58400034,Rua Presidente João Pessoa,Centro,-229027962,-431026262,-7.2164509,-35.8896766
9,58400036,Rua João Suassuna,Centro,-72122617,-35896333,-7.2152933,-35.8899158
10,58400038,Rua Iremar Vilarim,Centro,-72155077,-358879058,-7.2155077,-35.8879058
11,58400040,Rua Professor Mauro Luna,Centro,-72131395,-358862197,-7.2131395,-35.8862197
12,58400042,Rua Raimundo Alves da Silva,Centro,-7214639399999990,-358856608,-7.2146394,-35.8856608
13,58400048,Rua Padre Ibiapina,Centro,-37274655,-385403637,-7.2162909,-35.8870945
14,58400050,Rua Augusto Severo,Centro,-300033314,-511890322,-7.2179161,-35.8878906
15,58400052,Avenida Presidente Getúlio Vargas,Centro,-227683636,-471538543,-7.2178311,-35.8913142
16,58400054,Rua Expedicionário do Brasil,Centro,-217893643,-481824663,-7.219182,-35.888223
17,58400056,Rua Índios Cariris,Centro,-72183218,-358894204,-7.2189203,-35.8892427
18,58400058,Avenida Rio Branco,Centro,-229059821,-431773249,-7.2179983,-35.8947274
19,58400060,Rua Jerônimo Gueiros,Centro,-88806053,-364962,-7.2198839,-35.8884353
20,58400062,Rua Dom Pedro II,Centro,-198905141,-4383062779999990,-7.2187447,-35.8960187
21,58400066,Rua Professor José Coelho,Centro,-71168136,-3488104149999990,-7.2202872,-35.8878922
22,58400070,Rua Rui Barbosa,Centro,-235589533,-466453035,-7.2210687,-35.8860228
23,58400076,Rua Miguel Barreto,Centro,-7218349099999990,-35886831,-7.2181187,-35.8867921
24,58400078,Rua Félix Araújo,Centro,-72183113,-358870387,-7.2183491,-35.886831
25,58400081,Rua Theodósio de Oliveira Ledo,Centro,-7164515700000000,-349096018,-7.2188535,-35.8860251
26,58400083,Rua Coronel Demóstenes Barbosa,Centro,-72183182,-3588557,-7.2183064,-35.8855411
27,58400085,Praça da Bandeira,Centro,-229102021,-432122385,-7.2193144,-35.88509
28,58400087,Rua Marquês do Herval,Centro,-300213884,-512007024,-7.2186187,-35.8849538
29,58400090,Rua Venâncio Neiva,Centro,-7218159999999990,-358845104,-7.21816,-35.8845104
30,58400093,Rua Semeão Leal,Centro,-72183242,-358833199,-7.2181883,-35.8831669
31,58400097,Rua Cardoso Vieira,Centro,-72174065,-35883747,-7.2173935,-35.8837345
32,58400100,Rua Maciel Pinheiro,Centro,-71172054,-348890137,-7.2178119,-35.883809
33,58400103,Rua Monsenhor Sales,Centro,-72175707,-358848466,-7.2175199,-35.8846936
34,58400105,Rua Sete de Setembro,Centro,-229054333,-431784447,-7.2169334,-35.8852286
35,58400106,Praça João Rique Ferreira,Centro,-72585192,-358868249,-7.2174327,-35.885705
36,58400107,Praça Tenente Alfredo Dantas,Centro,-72184217,-358852148,-7.2184217,-35.8852148
37,58400110,Rua Barão do Abiaí,Centro,-72167747,-358840122,-7.2164418,-35.8845905
38,58400112,Rua Manoel Cavalcante Belo,Centro,-72167747,-358840122,-7.2218777,-35.8797893
39,58400115,Rua Alexandrino Cavalcanti Belo,Centro,-7216205,-35883557,-7.216205,-35.883557
40,58400117,Rua João Alves de Oliveira,Centro,-242243943,-468676144,-7.2149009,-35.8838722
41,58400120,Rua João Leôncio,Centro,-7215249999999990,-358847192,-7.2152059,-35.8842828
42,58400122,Rua Sandra Borborema,Centro,-7215035699999990,-358847235,-7.2150357,-35.8847235
43,58400126,Rua Vigolvino Wanderley,Centro,-7213883600000000,-358849458,-7.2139221,-35.8849704
44,58400130,Avenida Cajazeiras,Centro,-7106002399999990,-348291938,-7.2142363,-35.8833491
45,58400133,Rua Prefeito Ernani Lauritzen,Centro,-7215571199999990,-358822693,-7.2157043,-35.8818101
46,58400135,Rua Júlia Barreto de Melo,Centro,-72167131,-358813438,-7.2170202,-35.8799463
47,58400137,Rua Governador Agamenon Magalhães,Centro,-254356,-492300095,-7.2112966,-35.8811609
48,58400140,Rua Cristiano Lauritzen,Centro,-72240154,-358816943,-7.207488,-35.892321
49,58400143,Rua Peregrino de Carvalho,Centro,-72175663,-358814012,-7.2175675,-35.8814629
50,58400144,Praça Rosil Cavalcanti,Centro,-72218777,-358797893,-7.2232663,-35.8886192
51,58400145,Rua Conselheiro Eufrasino Barbosa Pontes,Centro,-7208199899999990,-359206393,-7.2182208,-35.8818693
52,58400147,Rua Euclides Vilar,Centro,-72171673,-3588121,-7.2171537,-35.881199
53,58400150,Rua Tavares Cavalcante,Centro,-7217731699999990,-358772405,-7.2172616,-35.8790616
54,58400152,Rua Estelita Cruz,Centro,-7210484000000000,-35879954,-7.210484,-35.879954
55,58400154,Praça Lino de Oliveira Cavalcante,Centro,-7204562699999990,-34846026,-7.2218777,-35.8797893
56,58400156,Rua Vereador Artur Villarim,Centro,-72164515,-358796472,-7.2163507,-35.8801089
57,58400158,Avenida Janúncio Ferreira,Centro,-7215724,-358796017,-7.2154345,-35.879987
58,58400160,Praça Poeta Augusto dos Anjos,Centro,-229099254,-431723904,-7.2245116,-35.8917104
59,58400165,Avenida Marechal Floriano Peixoto,Centro,-25479955,-492479242,-7.2203165,-35.8855522
60,58400170,Rua Santa Clara,Centro,,,-7.2221882,-35.8908983
61,58400171,Parque Evaldo Cruz,Centro,-229686549,-431897744,-7.2219412,-35.8891921
62,58400180,Avenida Marechal Floriano Peixoto,Centro,-25479955,-492479242,-7.2285547,-35.9036625
63,58400182,Rua Manoel Elias,Centro,-300267267,-511202026,-7.203037,-35.8826457
64,58400183,Travessa Capitão João de Sá,Centro,-358761928,-358761928,-7.2198133,-35.8761928
65,58400185,Rua Tavares Cavalcante,Centro,-7217731699999990,-358772405,-7.2172616,-35.8790616
66,58400187,Rua Deputado José Tavares,Centro,-71520944,-348876167,-7.2181292,-35.8784681
67,58400190,Rua Marcílio Dias,Centro,-236733675,-467143562,-7.2184453,-35.8775022
68,58400195,Rua Giló Guedes,Centro,-7218690599999990,-358757691,-7.218414,-35.8758284
69,58400198,Travessa Cinco de Agosto,Centro,-129199273,-384442199,-6.7325703,-38.448678
70,58400200,Rua Capitão João de Sá,Centro,-7219813299999990,-358761928,-7.2198133,-35.8761928
71,58400202,Rua Manoel Pereira de Araújo,Centro,-7219220699999990,-358772417,-7.22022,-35.8768984
72,58400204,Rua Doutor Carlos Agra,Centro,-7219904099999990,-358770149,-7.2198815,-35.8768093
73,58400205,Travessa Doutor Carlos Agra,Centro,-7219904099999990,-358770149,-7.2198815,-35.8768093
74,58400206,Rua Pedro Álvares Cabral,Centro,-22810447,-434259367,-7.2190917,-35.8779954
75,58400208,Rua Quebra Quilos,Centro,-72210156,-358766416,-7.2210156,-35.8766416
76,58400210,Rua Ulisses Gomes,Centro,-72217821,-358763928,-7.2211212,-35.876602
77,58400211,Vila Franca,Centro,377157269,-254345063,-20.5257893,-47.3709138
78,58400212,Travessa Ulisses Gomes,Centro,-7221603999999990,-35876047,-7.2216931,-35.8762199
79,58400213,Vila Barbosa,Centro,-234933716,-464266911,-7.2210018,-35.8859357
80,58400214,Rua Manoel Gonçalves Guimarães,Centro,Nan,Nan,-7.222762,-35.875734
81,58400215,Vila Anchieta,Centro,-231929145,-459012497,-7.2317716,-35.8788577
82,58400216,Praça Professor José Lopes de Andrade,Centro,-7240561400000000,-358662507,-7.2218777,-35.8797893
83,58400220,Rua Vila Nova da Rainha,Centro,-7221083499999990,-35878726,-7.2210835,-35.878726
84,58400223,Rua Cristóvão Colombo,Centro,-228951902,-432687105,-7.2194322,-35.8786116
85,58400224,Largo do Mercado Central,Centro,Nan,Nan,-7.2269037,-35.8766295
86,58400225,Rua Manoel Farias Leite,Centro,-7164218000000000,-349009431,-7.2195483,-35.879515
87,58400227,Rua Doutor Antônio Sá,Centro,-72193331,-358791075,-7.2192383,-35.8791788
88,58400230,Rua Peregrino de Carvalho,Centro,-72175663,-358814012,-7.2175675,-35.8814629
89,58400233,Rua Bento Viana,Centro,-254473991,-4928308759999990,-7.2186325,-35.8809755
90,58400234,Praça Nossa Senhora da Conceição,Centro,-199324252,-440535256,-7.2184507,-35.8812196
91,58400235,Rua Afonso Campos,Centro,-71233681,-348756408,-7.2193457,-35.8817135
92,58400238,Rua Pedro Américo,Centro,-229241954,-431815242,-7.2193384,-35.8808977
93,58400240,Rua Coronel João Lourenço Porto,Centro,-72201297,-358814741,-7.2201619,-35.8816607
94,58400243,Rua Deputado Álvaro Gaudêncio,Centro,-7222184299999990,-358802436,-7.2221843,-35.8802436
95,58400245,Rua João da Mata,Centro,-229296104,-432400807,-7.2213534,-35.8809274
96,58400248,Rua João Tavares,Centro,-235152271,-464697344,-7.2223259,-35.8820395
97,58400250,Rua José Bonifácio,Centro,-228927159,-432827665,-7.2222549,-35.8811416
98,58400253,Rua Coronel Salvino Figueiredo,Centro,-72231761,-358799062,-7.2231761,-35.8799062
99,58400255,Rua Elias Asfora,Centro,-7034872999999990,-372865699,-7.2226947,-35.8797215
100,58400258,Rua Doutor Severino Ribeiro Cruz,Centro,Nan,Nan,-7.2230112,-35.9207173
101,58400260,Rua Desembargador Trindade,Centro,-7223779899999990,-358840185,-7.2237799,-35.8840185
102,58400261,Rua Presidente João Pessoa,Centro,-229027962,-431026262,-7.2164509,-35.8896766
103,58400262,Praça Coronel Antônio Pessoa,Centro,-7223333299999990,-358839115,-7.2230659,-35.8838523
104,58400263,Rua Vidal de Negreiros,Centro,-300696425,-511672972,-7.2210984,-35.8828724
105,58400265,Travessa Almirante Alexandrino,Centro,-7222715999999990,-3588261,-7.2227247,-35.8827994
106,58400268,Rua Major Manoel Jovino do Ó,Centro,-72227438,-358837461,-7.2227529,-35.8837389
107,58400270,Rua Irineu Joffily,Centro,-7221219499999990,-358844759,-7.2217097,-35.8843948
108,58400273,Rua Miguel Couto,Centro,-229013519,-431801855,-7.2250096,-35.8843623
109,58400275,Rua Otacílio de Albuquerque,Centro,-235093748,-465867392,-7.2246144,-35.8853698
110,58400277,Rua Desembargador Trindade,Centro,-7223779899999990,-358840185,-7.2237799,-35.8840185
111,58400280,Rua Solon de Lucena,Centro,-72229718,-358853762,-7.2229636,-35.8852792
112,58400283,Rua Tiradentes,Centro,-229014003,-431246191,-7.2222968,-35.8859775
113,58400285,Travessa Tiradentes,Centro,-80593524,-348709247,-7.2222968,-35.8859775
114,58400287,Rua Afonso Pena,Centro,-229177678,-432188022,-7.2213575,-35.8850893
115,58400290,Rua Treze de Maio,Centro,-235623285,-466457737,-7.2211215,-35.8857916
116,58400292,Praça Clementino Procópio,Centro,-7219654999999990,-3588402,-7.219655,-35.88402
117,58400293,Largo Prefeito Severino Procópio,Centro,-72195665,-358833028,-7.2666167,-35.8926825
118,58400295,Rua Frei Caneca,Centro,-235543001,-4665426679999990,-7.2234394,-35.8865472
119,58400299,Travessa Presidente Epitácio Pessoa,Centro,-217668575,-5210964269999990,-7.2150132,-35.8874938
120,58400302,Praça Williams Arruda,Centro,Nan,Nan,-7.2218777,-35.8797893
121,58400310,Rua Paulo de Frontin,Centro,-254596766,-492146266,-7.2265804,-35.8797236
122,58400312,Rua João Florentino de Carvalho,Centro,-72220601,-358757647,-7.2211657,-35.8752495
123,58400320,Rua Sebastião Donato,São José,-72236826,-35887234,-7.224248,-35.8869012
124,58400322,Rua Frei Caneca,São José,-235543001,-4665426679999990,-7.2256726,-35.8857376
125,58400324,Rua Otacílio de Albuquerque,São José,-235093748,-465867392,-7.2258666,-35.8854356
